"","Country.x","Deaths...million","Deaths","Cases","iso3c","Country.y","Region.x","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","Country..or.territory.","Region.y","Hospital.beds.per.1.000.people.2013","Hospital.beds.per.1.000.people.2014","Hospital.beds.per.1.000.people.2015","Hospital.beds.per.1.000.people.2016","Hospital.beds.per.1.000.people.2017","Occupancy....","ICU.CCB.beds.100.000.inhabitants","Ventilators","Country","Obesity.rate....","Location","Vaccinated","Percent"
"39","Colombia","2,756","142,977","6,381,470","COL","Colombia","South America",51266,46.2,"Bogota",10779.4,"05-Nov-45","1141748",96.5,"Colombian Peso (COP)",3444.9,323803,3.3,6432.4,133,"31057",43483,-12426,-9326,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia",22.3,"Colombia","43,012,174",82.92
"40","Aruba","2,742","292","44,224","ABW","Aruba","Caribbean",107,595.5,"Oranjestad",29.9,NA,"180",90.2,"Aruban Florin (AWG)",1.8,3293,-0.7,30974.7,NA,"66",939,-873,-324,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","90,478",84.99
"41","Portugal","2,670","27,424","5,621,015","PRT","Portugal","Southern Europe",10168,111,"Lisbon",2942.1,"14-Dec-55","92226",89.8,"Euro (EUR)",0.8,238785,2.2,23350.4,109,"61529",77594,-16065,-2607,65.8,"Portugal","Europe",3.39,3.32,3.37,3.39,3.39,66.8,4.2," 1,400","Portugal",20.8,"Portugal","9,791,341",95.33
"42","Serbia","2,627","18,057","2,552,178","SRB","Serbia","Southern Europe",8698,99.4,"Belgrade",1393.7,"01-Nov-00","88444",96,"Serbian Dinar (RSD)",95.7,51475,4.2,7359.3,107,NA,NA,NA,-2236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serbia",21.5,"Serbia","3,354,075",48.81
"43","Mexico","2,624","334,630","7,690,908","MEX","Mexico","Central America",130262,67,"Mexico City",21671.9,"07-Nov-45","1964375",95.8,"Mexican Peso (MXN)",20,1256441,-0.3,9848.6,113,NA,NA,NA,26571,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mexico",54.7,"Mexico","97,179,493",76.22
"44","France","2,599","167,985","38,997,490","FRA","France","Western Europe",65426,119.5,"Paris",10958.2,"24-Oct-45","551500",93.8,"Euro (EUR)",0.8,NA,NA,NA,98,"488562",582775,-94213,-48911,80.7,"France","Europe",6.28,6.2,6.13,6.06,5.98,75.6,11.6," 9,236 (2006) 7,007 (2009)","France",21.6,"France","54,677,678",80.63
"45","Guadeloupe","2,579","1,021","203,235","GLP","Guadeloupe","Caribbean",400,245.7,"Basse-Terre",58.4,NA,"1639",85.5,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Bermuda","2,569","165","18,860","BMU","Bermuda","Northern America",62,1241.8,"Hamilton",10.1,NA,"54",NA,"Bermudian Dollar (BMD)",1,7361,2.4,117767.9,NA,"19",904,-885,828,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bermuda","48,554",75.65
"47","Spain","2,562","121,852","13,980,340","ESP","Spain","Southern Europe",46745,93.7,"Madrid",6559,"14-Dec-55","505969",96.7,"Euro (EUR)",0.8,1393491,2,29815.7,106,"312081",329739,-17658,8665,NA,"Spain","Europe",2.96,2.97,2.98,2.97,2.97,75.3,9.7,NA,"Spain",23.8,"Spain","41,351,234",86.95
"48","Austria","2,520","22,534","6,081,287","AUT","Austria","Western Europe",9043,109.7,"Vienna",1915.3,"14-Dec-55","83878",97.4,"Euro (EUR)",0.8,445075,1.4,49700.8,100,"164332",162981,1351,10781,58.5,"Austria","Europe",7.64,7.58,7.54,7.42,7.37,73.8,21.8," 2,500","Austria",20.1,"Austria","6,899,873",77.18
