"","Country.x","Deaths...million","Deaths","Cases","iso3c","Country.y","Region.x","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","Country..or.territory.","Region.y","Hospital.beds.per.1.000.people.2013","Hospital.beds.per.1.000.people.2014","Hospital.beds.per.1.000.people.2015","Hospital.beds.per.1.000.people.2016","Hospital.beds.per.1.000.people.2017","Occupancy....","ICU.CCB.beds.100.000.inhabitants","Ventilators","Country","Obesity.rate....","Location","Vaccinated","Percent"
"137","Wallis and Futuna","689","8","3,550","WLF","Wallis and Futuna Islands","Polynesia",11,79.2,"Matu-Utu",1,NA,"142",NA,"CFP Franc (XPF)c",97.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wallis and Futuna","7,150",61.66
"138","Mongolia","672","2,284","1,011,116","MNG","Mongolia","Eastern Asia",3329,2.1,"Ulaanbaatar",1552.7,"27-Oct-61","1564116",97,"Tugrik (MNT)",2849.9,13853,4.9,4295.2,140,"7576",5294,2282,-675,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mongolia",20.6,"Mongolia","2,272,965",68.27
"139","El Salvador","667","4,230","201,807","SLV","El Salvador","Central America",6518,314.6,"San Salvador",1105.7,"24-Oct-45","21041",87.9,"US Dollar (USD)",NA,27023,2.4,4187.2,100,"5030",10594,-5564,121,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Salvador",24.6,"El Salvador","4,652,597",73.69
"140","New Zealand","645","3,347","2,385,438","NZL","New Zealand","Oceania",4861,18.5,"Wellington",413,"24-Oct-45","268107",96.6,"New Zealand Dollar (NZD)",1.4,206936,1.5,43229.3,101,"38877",37098,1779,-1886,86.6,"New Zealand","Oceania",2.78,2.75,2.71,2.73,2.71,NA,4.6," 334","New Zealand",30.8,"New Zealand","4,301,605",82.96
"141","Maldives","603","316","186,694","MDV","Maldives","Southern Asia",544,1812.1,"Male",176.9,"21-Sep-65","300",171.3,"Rufiyaa (MVR)",15.4,5642,7,10626.5,105,"149",1809,-1661,-1119,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maldives",8.6,"Maldives","399,308",76.23
"142","Japan","602","74,694","33,803,572","JPN","Japan","Eastern Asia",126051,345.8,"Tokyo",37435.2,"18-Dec-56","377930",95.4,"Yen (JPY)",103.6,5082466,0.7,40063.5,100,"641283",635402,5880,164497,91.7,"Japan","Asia",13.3,13.21,13.17,13.11,13.05,75.5,13.5," 45,293","Japan",4.3,"Japan","104,705,133",84.47
"143","Kuwait","602","2,570","666,333","KWT","Kuwait","Western Asia",4329,242.9,"Kuwait City",3052.5,"14-May-63","17818",158.5,"Kuwaiti Dinar (KWD)",0.3,134624,0.4,31999.3,132,"72958",37506,35452,33811,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kuwait",37.9,"Kuwait","3,457,412",80.99
"144","Indonesia","587","161,918","6,813,429","IDN","Indonesia","South-eastern Asia",276362,152.6,"Jakarta",10638.7,"28-Sep-50","1910931",101.4,"Rupiah (IDR)",14105,1119191,5,4135.6,117,NA,NA,NA,-4341,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indonesia",6.9,"Indonesia","203,845,350",73.99
"145","Philippines","577","66,696","4,113,434","PHL","Philippines","South-eastern Asia",111047,372.4,"Manila",13698.9,"24-Oct-45","300000",100.8,"Philippine Piso (PHP)",48,359354,5.9,3323.8,104,"63901",90692,-26791,12979,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippines",6.4,"Philippines","78,484,848",67.92
"146","Mayotte","573","187","42,027","MYT","Mayotte","Eastern Africa",280,745.4,"Mamoudzou",6.2,NA,NA,96.8,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Iraq","570","25,375","2,465,545","IRQ","Iraq","Western Asia",41179,94.8,"Baghdad",6974.4,"21-Dec-45","435052",102.5,"Iraqi Dinar (IQD)",1450,225232,4.4,5729.7,120,"2582",27611,-25029,-6197,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iraq",30.4,"Iraq","11,332,925",25.47
"148","Federated States of Micronesia","569","65","26,547","FSM","Micronesia (Federated States of)","Micronesia",116,166.1,"Palikir",7,"17-Sep-91","702",103.4,"US Dollar (USD)",NA,414,1.2,3640.4,102,"34",189,-155,NA,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Federated States of Micronesia",45.8,NA,NA,NA
"149","Cayman Islands","538","37","31,472","CYM","Cayman Islands","Caribbean",66,277.1,"George Town",34.9,NA,"264",NA,"Cayman Islands Dollar (KYD)",0.8,6020,3.2,92692.4,NA,NA,1337,NA,-582,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cayman Islands","62,023",90.25
"150","Faroe Islands","527","28","34,658","FRO","Faroe Islands","Northern Europe",49,35.1,"Tórshavn",20.8,NA,"1393",NA,"Danish Krone (DKK)",6.1,NA,NA,NA,96,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faroe Islands","41,715",85.04
"151","Iceland","498","186","209,142","ISL","Iceland","Northern Europe",343,3.4,"Reykjavik",216.4,"19-Nov-46","103000",101,"Iceland Krona (ISK)",127.2,24188,1.9,71344.6,107,"4560",5671,-1111,244,93.9,"Iceland","Europe",3.22,3.16,3.12,3.13,3.06,NA,9.1,NA,"Iceland",21.9,"Iceland","309,770",84
"152","Palau","497","9","6,241","PLW","Palau","Micronesia",18,39.5,"Melekeok",11.4,"15-Dec-94","459",NA,"US Dollar (USD)",NA,280,0.3,15572.5,NA,NA,NA,NA,-52,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palau",55.3,NA,NA,NA
"153","Thailand","480","34,474","4,757,473","THA","Thailand","South-eastern Asia",69951,136.9,"Bangkok",10350.2,"16-Dec-46","513140",94.7,"Baht (THB)",30,542017,2.4,7784.7,101,"219084",188668,30416,16298,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thailand",10,"Thailand","57,005,497",79.62
"154","Saint Barthélemy","454","5","5,507","BLM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Vietnam","440","43,206","11,623,698","VNM","Viet Nam","South-eastern Asia",98169,316.6,"Hanoi",4479.6,"20-Sep-77","331236",99.7,"Dong (VND)",23131,261921,7,2715.3,105,"282817",262001,20816,13101,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vietnam",2.1,"Vietnam","90,272,853",91.94
"156","Morocco","435","16,297","1,276,812","MAR","Morocco","Northern Africa",37345,83.7,"Rabat",1864.9,"12-Nov-56","446550",98.6,"Moroccan Dirham (MAD)",8.9,NA,NA,NA,111,"26965",43280,-16315,-1633,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morocco",26.1,"Morocco","25,020,168",66.8
"157","Marshall Islands","408","17","16,133","MHL","Marshall Islands","Micronesia",60,331.2,"Majuro",30.7,"17-Sep-91","181",NA,"US Dollar (USD)",NA,237,5.3,4038.2,75,NA,NA,NA,53,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marshall Islands",52.9,NA,NA,NA
"158","Nepal","393","12,031","1,003,441","NPL","Nepal","Southern Asia",29675,207,"Kathmandu",1376.1,"14-Dec-55","147181",85.5,"Nepalese Rupee (NPR)",117.8,30715,7,1073.6,113,NA,NA,NA,-65,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nepal",4.1,"Nepal","27,804,935",91.02
"159","Dominican Republic","390","4,384","667,073","DOM","Dominican Republic","Caribbean",10954,226.7,"Santo Domingo",3245,"24-Oct-45","48671",99.7,"Dominican Peso (DOP)",58.3,88941,5.1,8282.1,118,NA,NA,NA,-1541,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominican Republic",27.8,"Dominican Republic","7,352,139",65.48
"160","India","375","532,032","44,998,838","IND","India","Southern Asia",1393409,468.7,"New Delhi",29399.1,"30-Oct-45","3287263",108.1,"Indian Rupee (INR)",73,2891582,4.2,2116.2,114,"275489",367980,-92492,33007,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"India",3.9,"India","1,027,418,330",72.5
"161","Greenland","371","21","11,971","GRL","Greenland","Northern America",57,0.1,"Nuuk",18.4,NA,"2166086",NA,"Danish Krone (DKK)",6.1,3024,2.8,53352.6,NA,"748",791,-43,NA,87.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greenland","41,243",72.52
"162","Brunei","363","163","311,449","BRN","Brunei Darussalam","South-eastern Asia",442,83.8,"Bandar Seri Begawan",40.8,"21-Sep-84","5765",107.7,"Brunei Dollar (BND)",1.3,13469,3.9,31086.3,97,"7113",7236,-124,514,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brunei",14.1,"Brunei","451,149",100.48
"163","Myanmar","359","19,494","641,280","MMR","Myanmar","South-eastern Asia",54806,83.9,"Nay Pyi Taw",546.5,"19-Apr-48","676577",93,"Kyat (MMK)",1329.1,76785,2.9,1420.7,108,"16929",17964,-1035,68,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myanmar","34,777,314",64.64
"164","Sao Tome and Principe","351","80","6,597","STP","Sao Tome and Principe","Middle Africa",223,232.7,"Sao Tome",80.1,"16-Sep-75","964",100.2,"Dobra (STN)",20,422,1.3,1961.2,107,"11",164,-153,-60,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"São Tomé and Príncipe",12.4,"Sao Tome and Principe","140,256",61.68
"165","Zimbabwe","350","5,718","265,753","ZWE","Zimbabwe","Eastern Africa",15092,39,"Harare",1521.3,"25-Aug-80","390757",91.4,"Zimbabwe Dollar (ZWL)",81.8,21441,-8.1,1464,113,"4395",5048,-653,-308,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zimbabwe",15.5,"Zimbabwe","6,437,808",40.25
"166","Saint Pierre and Miquelon","339","2","3,426","SPM","Saint Pierre and Miquelon","Northern America",6,25.1,"Saint-Pierre",5.7,NA,"242",NA,"Euro (EUR)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,89.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Singapore","332","1,872","2,594,809","SGP","Singapore","South-eastern Asia",5897,8423.8,"Singapore",5868.1,"21-Sep-65","725",109.8,"Singapore Dollar (SGD)",1.3,372074,0.7,64102.7,112,"362928",329032,33895,59786,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singapore",6.1,"Singapore","5,160,551",91.55
"168","Lesotho","306","706","34,490","LSO","Lesotho","Southern Africa",2159,71.1,"Maseru",201.9,"17-Oct-66","30355",97.5,"Loti (LSL)",14.6,2460,1.5,1157.5,96,"2250",1500,750,-52,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lesotho",16.6,"Lesotho","1,014,073",43.98
"169","Saudi Arabia","264","9,646","841,469","SAU","Saudi Arabia","Western Asia",35341,16.4,"Riyadh",7070.7,"24-Oct-45","2206714",137.1,"Saudi Riyal (SAR)",3.8,792967,0.3,23139.8,132,"168822",131354,37468,-19647,84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saudi Arabia",35.4,"Saudi Arabia","27,041,364",74.27
"170","Qatar","256","690","514,524","QAT","Qatar","Western Asia",2930,252.4,"Doha",637.3,"21-Sep-71","11627",299.3,"Qatari Rial (QAR)",3.6,183466,-0.2,64781.7,119,"51504",25835,25669,-3617,99.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qatar",35.1,"Qatar","2,852,178",105.83
"171","United Arab Emirates","248","2,349","1,067,030","ARE","United Arab Emirates","Western Asia",9991,119.5,"Abu Dhabi",1452.1,"09-Dec-71","71024",222,"UAE Dirham (AED)d",3.7,421142,1.7,43103.3,112,"376382",198753,177628,NA,86.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Arab Emirates",31.7,"United Arab Emirates","9,991,089",100
"172","Egypt","223","24,830","516,023","EGY","Egypt","Northern Africa",104258,104.7,"Cairo",20485,"24-Oct-45","1002000",102.1,"Egyptian Pound (EGP)",15.7,317359,5.6,3161.3,102,NA,NA,NA,-14236,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egypt",32,"Egypt","56,907,319",51.27
"173","Solomon Islands","211","153","21,611","SLB","Solomon Islands","Melanesia",704,25.2,"Honiara",81.8,"19-Sep-78","28896",103.5,"Solomon Is. Dollar (SBD)c",8,1303,1.2,1944.8,105,"680",141,539,-25,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solomon Islands",22.5,"Solomon Islands","343,821",47.47
"174","Mauritania","210","997","63,757","MRT","Mauritania","Western Africa",4775,4.6,"Nouakchott",1259,"27-Oct-61","1030700",100.9,"Ouguiya (MRU)",36.7,7594,5.9,1677.9,109,"2700",3937,-1237,-831,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mauritania",12.7,"Mauritania","2,103,721",44.42
"175","Venezuela","206","5,856","552,695","VEN","Venezuela (Bolivarian Republic of)","South America",28705,32.5,"Caracas",2935.5,"15-Nov-45","929690",96.7,"Bolívar (VEF)",10,134960,-35,4732.8,91,"2164",414,1750,-3870,88.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Venezuela",25.6,"Venezuela","22,157,232",78.29
"176","Zambia","203","4,069","349,287","ZMB","Zambia","Eastern Africa",18921,25.5,"Lusaka",2646.6,"01-Dec-64","752612",98.1,"Zambian Kwacha (ZMW)",21.2,23085,1.4,1292.5,110,"7805",5314,2491,2254,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zambia",8.1,"Zambia","11,637,730",58.14
"177","Afghanistan","193","7,950","226,220","AFG","Afghanistan","Southern Asia",39835,61,"Kabul",4114,"19-Nov-46","652864",105.3,"Afghani (AFN)",77.1,17877,4,469.9,111,"1022",9683,-8661,-3137,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan",5.5,"Afghanistan","18,148,121",44.13
"178","Comoros","191","160","9,109","COM","Comoros","Eastern Africa",888,477.4,"Moroni",62.4,"12-Nov-75","2235",101.8,"Comorian Franc (KMF)",400.9,1166,3.2,1370.1,100,"46",178,-133,-37,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comoros",7.8,"Comoros","438,825",53.41
"179","Kiribati","182","24","5,085","KIR","Kiribati","Micronesia",121,149.9,"Bairiki",3.2,"14-Sep-99","726",96.8,"Australian Dollar (AUD)",1.3,195,2.3,1656.9,93,"4",123,-119,87,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kiribati",46,"Kiribati","100,900",76.88
"180","Cambodia","182","3,056","138,941","KHM","Cambodia","South-eastern Asia",16946,96,"Phnom Penh",2014,"14-Dec-55","181035",95.4,"Riel (KHR)",4076.5,27098,6.8,1643.6,121,"17543",18696,-1153,-3076,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cambodia",3.9,"Cambodia","15,307,310",91.29
"181","Macau","174","121","3,514","MAC","China, Macao SAR","Eastern Asia",658,22019.8,"Macao",642.1,NA,"33",92.6,"Pataca (MOP)",8,53859,-4.7,84096.7,82,"1025",11950,-10926,18556,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macau","679,703",97.77
"182","Bangladesh","172","29,477","2,045,734","BGD","Bangladesh","Southern Asia",166304,1277.6,"Dhaka",20283.6,"17-Sep-74","148460",102.1,"Taka (BDT)",84.8,301051,8.2,1846.4,109,"30768",45777,-15009,1082,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bangladesh",3.6,"Bangladesh","151,504,341",88.5
"183","Djibouti","168","189","15,690","DJI","Djibouti","Eastern Africa",1002,43.2,"Djibouti",568.8,"20-Sep-77","23200",110.4,"Djibouti Franc (DJF)",177.7,3166,7.7,3252.3,126,NA,NA,NA,448,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Djibouti",13.5,"Djibouti","372,077",33.2
"184","Kyrgyzstan","154","1,024","88,889","KGZ","Kyrgyzstan","Central Asia",6628,34.6,"Bishkek",1017.2,"02-Mar-92","199949",97.9,"Som (KGS)",82.6,8455,4.5,1317.8,110,"1864",3387,-1523,-1067,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyrgyzstan",16.6,"Kyrgyzstan","1,736,541",26.19
"185","Algeria","153","6,881","271,910","DZA","Algeria","Northern Africa",44617,18.7,"Algiers",2729.3,"08-Oct-62","2381741",102.1,"Algerian Dinar (DZD)",132.1,171158,0.8,3975.5,112,"28986",41678,-12692,-17148,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algeria",27.4,"Algeria","7,840,131",17.75
"186","Syria","142","3,163","57,423","SYR","Syrian Arab Republic","Western Asia",18276,99.5,"Damascus",2353.6,"24-Oct-45","185180",100.1,"Syrian Pound (SYP)",1250,20379,4.8,1193.9,118,"400",729,-329,NA,54.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syria",27.8,"Syria","3,295,630",14.9
"187","Samoa","139","31","16,778","WSM","Samoa","Polynesia",200,70.7,"Apia",36.1,"15-Dec-76","2842",107.3,"Tala (WST)",2.5,845,2.3,4285.5,104,"37",313,-276,15,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Samoa",47.3,"Samoa","191,403",86.07
"188","Gambia","137","372","12,626","GMB","Gambia","Western Africa",2487,245.7,"Banjul",443.4,"21-Sep-65","11295",98.4,"Dalasi (GMD)",51.6,1823,6.1,776.4,92,"26",553,-527,-79,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gambia",10.3,"Gambia","934,799",34.55
"189","Malawi","131","2,686","88,986","MWI","Malawi","Eastern Africa",19648,208.4,"Lilongwe",1074.7,"01-Dec-64","117726",97.3,"Malawi Kwacha (MWK)",773.1,8099,5.2,434.8,129,"632",2406,-1775,-1837,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malawi",5.8,"Malawi","5,343,858",26.19
"190","Pakistan","129","30,656","1,580,631","PAK","Pakistan","Southern Asia",225200,292.1,"Islamabad",1095.1,"30-Sep-47","796095",106,"Pakistan Rupee (PKR)",159.6,256996,3.3,1186.7,118,"22237",45775,-23538,245,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pakistan",8.6,"Pakistan","165,567,890",70.21
"191","Gabon","128","307","48,992","GAB","Gabon","Middle Africa",2279,8.8,"Libreville",823.9,"20-Sep-60","267668",103.6,"CFA Franc, BEAC (XAF)c",534.6,16888,3.6,7773.2,107,NA,NA,NA,NA,89.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gabon",15,"Gabon","311,040",13.02
"192","Cook Islands","117","2","7,158","COK","Cook Islands","Polynesia",18,73.2,"Avarua",13.1,NA,"236",NA,"New Zealand Dollar (NZD)",1.4,379,4.8,21603.5,79,"19",105,-85,NA,75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cook Islands",55.9,"Cook Islands","15,112",88.73
"193","Senegal","113","1,971","89,022","SEN","Senegal","Western Africa",17196,89.3,"Dakar",3057.1,"28-Sep-60","196712",95.4,"CFA Franc, BCEAO (XOF)d",534.6,23665,5.2,1452.1,153,"3929",7812,-3883,-2215,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Senegal",8.8,"Senegal","2,684,696",15.5
"194","Tonga","112","12","16,825","TON","Tonga","Polynesia",107,148.3,"Nuku'alofa",22.9,"14-Sep-99","747",100.2,"Pa'anga (TOP)",2.3,508,0.7,4865.5,91,"14",350,-336,-19,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tonga",48.2,"Tonga","87,342",81.73
"195","Equatorial Guinea","109","183","17,130","GNQ","Equatorial Guinea","Middle Africa",1450,51.7,"Malabo",296.8,"12-Nov-68","28052",125.4,"CFA Franc, BEAC (XAF)c",534.6,11025,-5.6,8130.4,109,NA,NA,NA,NA,72.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Equatorial Guinea",8,"Equatorial Guinea","270,109",16.53
"196","Sudan","107","5,046","63,993","SDN","Sudan","Northern Africa",44909,25.4,"Khartoum",5677.9,"12-Nov-56",NA,99.9,"Sudanese Pound (SDG)",55,34895,1.3,815.1,116,NA,NA,NA,-5215,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudan",6.6,"Sudan","15,207,452",32.44
"197","Rwanda","106","1,468","133,194","RWA","Rwanda","Eastern Africa",13276,538.2,"Kigali",1094.8,"18-Sep-62","26338",96.7,"Rwanda Franc (RWF)",972.5,10355,9.4,820.1,123,"1629",3595,-1966,-1254,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rwanda",5.8,"Rwanda","10,572,981",76.75
"198","Kenya","105","5,689","343,955","KEN","Kenya","Eastern Africa",54986,96.6,"Nairobi",4556.4,"16-Dec-63","591958",98.8,"Kenyan Shilling (KES)",109.2,95502,5.4,1816.5,111,"6023",15405,-9382,-5559,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenya",7.1,"Kenya","14,494,372",26.83
"199","Timor-Leste","102","138","23,460","TLS","Timor-Leste","South-eastern Asia",1344,90.4,"Dili",281.1,"27-Sep-02","14919",102.1,"US Dollar (USD)",NA,2018,18.7,1560.5,99,NA,NA,NA,-357,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Timor-Leste",3.8,"Timor-Leste","884,194",65.92
"200","Laos","89","671","218,870","LAO","Lao People's Democratic Republic","South-eastern Asia",7379,32,"Vientiane",673.1,"14-Dec-55","236800",100.8,"Lao Kip (LAK)",9274,18823,4.7,2625.4,102,"5669",6309,-639,-947,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Laos",5.3,"Laos","5,888,649",79.31
"201","Tuvalu","88","1","2,943","TUV","Tuvalu","Polynesia",12,397.5,"Funafuti",7,"05-Sep-00","26",NA,"Australian Dollar (AUD)",1.3,47,6.3,4036,103,NA,NA,NA,-9,63.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuvalu",51.6,"Tuvalu","6,368",53.4
"202","China","85","121,714","99,312,876","CHN","China","Eastern Asia",1444216,153.8,"Beijing",20035.5,"24-Oct-45","9600000",105.2,"Yuan Renminbi (CNY)",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"China","Asia",3.31,3.57,3.82,4.05,4.34,NA,4.52," 145,000 (Invasive Ventilators) 98,000 (Non-Invasive Ventilators)","China",6.2,"China","1,310,292,000",91.89
"203","Guinea-Bissau","84","177","9,614","GNB","Guinea-Bissau","Western Africa",2016,71.7,"Bissau",578.8,"17-Sep-74","36125",95.9,"CFA Franc, BCEAO (XOF)c",534.6,1322,4.5,688.4,107,NA,NA,NA,-127,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guinea-Bissau",9.5,"Guinea-Bissau","733,271",34.83
"204","Nauru","78","1","5,393","NRU","Nauru","Micronesia",11,543.6,"Yaren",11.3,"14-Sep-99","21",NA,"Australian Dollar (AUD)",1.3,133,1,12350.9,101,NA,NA,NA,8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nauru","13,106",103.27
"205","Somalia","77","1,361","27,334","SOM","Somalia","Eastern Africa",16360,26.1,"Mogadishu",2179.9,"20-Sep-60","637657",99.4,"Somali Shilling (SOS)",24300,1626,2.9,105.3,97,NA,NA,NA,NA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia",8.3,"Somalia","8,972,167",50.99
"206","Uganda","76","3,632","171,843","UGA","Uganda","Eastern Africa",47124,235.8,"Kampala",3137.7,"25-Oct-62","241550",97.3,"Uganda Shilling (UGX)",3650.1,32609,6.7,736.6,100,"4149",8251,-4102,-2333,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda",5.3,"Uganda","19,488,104",41.25
"207","Haiti","74","860","34,326","HTI","Haiti","Caribbean",11542,418.8,"Port-au-Prince",2704.2,"24-Oct-45","27750",97.4,"Gourde (HTG)",72.2,8051,-0.9,714.8,92,NA,NA,NA,72,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haiti",22.7,"Haiti","521,396",4.5
"208","Cameroon","70","1,974","125,090","CMR","Cameroon","Middle Africa",27224,57.6,"Yaoundé",3822.4,"20-Sep-60","475650",100.1,"CFA Franc, BEAC (XAF)c",534.6,38861,3.9,1501.8,107,"4437",7452,-3014,-1695,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cameroon",11.4,"Cameroon","3,727,930",13.35
"209","Mozambique","68","2,249","233,652","MOZ","Mozambique","Eastern Africa",32163,40.9,"Maputo",1104.3,"16-Sep-75","799380",94.6,"Mozambique Metical (MZN)",74.9,15297,2.3,503.7,125,"6651",10080,-3429,-3813,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mozambique",7.2,"Mozambique","22,869,646",69.37
"210","Papua New Guinea","66","670","46,864","PNG","Papua New Guinea","Melanesia",9119,20.1,"Port Moresby",374.5,"10-Oct-75","462840",104.4,"Kina (PGK)",3.5,24970,6.5,2845.2,106,NA,NA,NA,5451,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Papua New Guinea",21.3,"Papua New Guinea","382,020",3.77
"211","Republic of the Congo","65","389","25,196","COG","Congo","Middle Africa",5657,16.6,"Brazzaville",2308.1,"20-Sep-60","342000",99.9,"CFA Franc, BEAC (XAF)c",534.6,12397,-0.9,2304.1,107,"3046",321,2725,-3594,67.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republic of the Congo",9.6,"Republic of the Congo","695,760",11.92
"212","Yemen","64","2,159","11,945","YEM","Yemen","Western Asia",30491,57.8,"Sana'a",2874.4,"30-Sep-47","527968",101.5,"Yemeni Rial (YER)",250.2,24935,2.1,855.1,98,"~0",5298,-5298,-2419,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yemen",17.1,"Yemen","1,041,596",3.09
"213","Ethiopia","61","7,574","501,060","ETH","Ethiopia","Eastern Africa",117876,117.9,"Addis Ababa",4592,"13-Nov-45","1104300",100.1,"Ethiopian Birr (ETB)",39.2,92750,8.3,827.5,108,"2265",4509,-2244,-2719,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethiopia",4.5,"Ethiopia","44,073,766",35.72
