"","Country","Region","Population..000..2021.","Pop..density..per.km2..2021.","Capital.city","Capital.city.pop...000..2021.","UN.membership.date","Surface.area..km2.","Sex.ratio..m.per.100.f.","National.currency","Exchange.rate..per.US..","GDP..Gross.domestic.product..million.current.US..","GDP.growth.rate..annual....const..2015.prices.","GDP.per.capita..current.US..","Agricultural.production.index..2014.2016.100.","International.trade..exports..million.current.US..","International.trade..imports..million.current.US..","International.trade..balance..million.current.US..","Balance.of.payments..current.account..million.US..","Urban.population....of.total.population.","iso3c"
"39","Cayman Islands","Caribbean",66,277.1,"George Town",34.9,NA,"264",NA,"Cayman Islands Dollar (KYD)",0.8,6020,3.2,92692.4,NA,NA,1337,NA,-582,100,"CYM"
"40","Central African Republic","Middle Africa",4920,7.9,"Bangui",869.6,"20-Sep-60","622984",98.3,"CFA Franc, BEAC (XAF)c",534.6,2220,3,467.9,106,"73",75,-2,NA,41.8,"CAF"
"41","Chad","Middle Africa",16915,13.4,"N'Djamena",1371.5,"20-Sep-60","1284000",99.7,"CFA Franc, BEAC (XAF)c",534.6,11272,3,706.8,118,NA,NA,NA,NA,23.3,"TCD"
"42","Channel Islands","Northern Europe",175,922.3,"Saint Heliere",34.4,NA,"180",98.1,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Chile","South America",19212,25.8,"Santiago",6723.5,"24-Oct-45","756102",97.3,"Chilean Peso (CLP)",729,282318,1.1,14896.5,103,"59804",59367,438,3370,87.6,"CHL"
"44","China","Eastern Asia",1444216,153.8,"Beijing",20035.5,"24-Oct-45","9600000",105.2,"Yuan Renminbi (CNY)",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN"
"45","China, Hong Kong SAR","Eastern Asia",7553,7193.1,"Hong Kong",7490.8,NA,"1107",84.5,"Hong Kong Dollar (HKD)",7.8,365711,-1.2,49180.1,138,"551516",573061,-21546,22666,100,"HKG"
"46","China, Macao SAR","Eastern Asia",658,22019.8,"Macao",642.1,NA,"33",92.6,"Pataca (MOP)",8,53859,-4.7,84096.7,82,"1025",11950,-10926,18556,100,"MAC"
"47","Colombia","South America",51266,46.2,"Bogota",10779.4,"05-Nov-45","1141748",96.5,"Colombian Peso (COP)",3444.9,323803,3.3,6432.4,133,"31057",43483,-12426,-9326,81.1,"COL"
"48","Comoros","Eastern Africa",888,477.4,"Moroni",62.4,"12-Nov-75","2235",101.8,"Comorian Franc (KMF)",400.9,1166,3.2,1370.1,100,"46",178,-133,-37,29.2,"COM"
"49","Congo","Middle Africa",5657,16.6,"Brazzaville",2308.1,"20-Sep-60","342000",99.9,"CFA Franc, BEAC (XAF)c",534.6,12397,-0.9,2304.1,107,"3046",321,2725,-3594,67.4,"COG"
"50","Cook Islands","Polynesia",18,73.2,"Avarua",13.1,NA,"236",NA,"New Zealand Dollar (NZD)",1.4,379,4.8,21603.5,79,"19",105,-85,NA,75.3,"COK"
"51","Costa Rica","Central America",5139,100.6,"San José",1378.5,"02-Nov-45","51100",99.8,"Costa Rican Colon (CRC)",613.9,61774,2.1,12238.4,107,"12011",13965,-1954,-1289,80.1,"CRI"
"52","Croatia","Southern Europe",4082,72.9,"Zagreb",685.2,"22-May-92","56594",93.2,"Kuna (HRK)",6.1,60415,2.9,14627.3,80,"16965",25987,-9021,-532,57.2,"HRV"
"53","Cuba","Caribbean",11318,106.3,"Havana",2138.4,"24-Oct-45","109884",98.6,"Cuban Peso (CUP)c",1,105355,2,9295.9,88,NA,NA,NA,NA,77.1,"CUB"
"54","Curaçao","Caribbean",165,371.2,"Willemstad",144,NA,"444",85.3,"Neth. Ant. Guilder (ANG)c",1.8,3102,-3.4,18980,NA,NA,NA,NA,-539,89.1,"CUW"
"55","Cyprus","Western Asia",1216,131.6,"Nicosia",269.5,"20-Sep-60","9251",99.9,"Euro (EUR)",0.8,NA,NA,NA,106,"2741",7504,-4763,-2850,NA,"CYP"
"56","Czechia","Eastern Europe",10725,138.8,"Prague",1298.8,"19-Jan-93","78871",97.1,"Czech Koruna (CZK)",21.4,250681,2.3,23451.7,93,"192305",170678,21627,8845,73.9,"CZE"
"57","Côte d’Ivoire","Western Africa",27054,85.1,"Yamoussoukroc",231.1,"20-Sep-60","322462",101.6,"CFA Franc, BCEAO (XOF)d",534.6,58540,6.2,2276.3,114,"12181",10482,1699,-1349,51.2,"CIV"
"58","Democratic People's Republic of Korea","Eastern Asia",25887,215,"Pyongyang",3060.9,"17-Sep-91","120538",95.7,"North Korean Won (KPW)",103,16331,0.4,639.6,102,NA,NA,NA,NA,62.1,"PRK"
"59","Democratic Republic of the Congo","Middle Africa",92378,40.7,"Kinshasa",13743.3,"20-Sep-60","2344858",99.7,"Congolese Franc (CDF)",1971.8,47320,4.4,545.2,110,"14122",6663,7459,-1095,45,"COD"
"60","Denmark","Northern Europe",5813,137,"Copenhagen",1333.9,"24-Oct-45","42934",98.8,"Danish Krone (DKK)",6.1,350104,2.8,60656.9,101,"107224",96791,10433,26023,88,"DNK"
"61","Djibouti","Eastern Africa",1002,43.2,"Djibouti",568.8,"20-Sep-77","23200",110.4,"Djibouti Franc (DJF)",177.7,3166,7.7,3252.3,126,NA,NA,NA,448,77.9,"DJI"
"62","Dominica","Caribbean",72,96.2,"Roseau",14.9,"18-Dec-78","750",NA,"E. Caribbean Dollar (XCD)c",2.7,582,3.6,8110.5,99,"14",197,-183,-225,70.8,"DMA"
"63","Dominican Republic","Caribbean",10954,226.7,"Santo Domingo",3245,"24-Oct-45","48671",99.7,"Dominican Peso (DOP)",58.3,88941,5.1,8282.1,118,NA,NA,NA,-1541,81.8,"DOM"
"64","Ecuador","South America",17888,72,"Quito",1847.7,"21-Dec-45","257217",100,"US Dollar (USD)",NA,107436,0.1,6183.8,98,"20224",16140,4084,2474,64,"ECU"
"65","Egypt","Northern Africa",104258,104.7,"Cairo",20485,"24-Oct-45","1002000",102.1,"Egyptian Pound (EGP)",15.7,317359,5.6,3161.3,102,NA,NA,NA,-14236,42.7,"EGY"
